"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2016Q4";"30100 Forssa Keskus   (Tammela )";"Yksiöt";169;11.41
"2016Q4";"30100 Forssa Keskus   (Tammela )";"Kaksiot";99;9.61
"2016Q4";"30100 Forssa Keskus   (Tammela )";"Kolmiot+";27;9.10
"2016Q4";"30300 Viksberg   (Forssa )";"Yksiöt";54;10.38
"2016Q4";"30300 Viksberg   (Forssa )";"Kaksiot";47;8.71
"2016Q4";"30300 Viksberg   (Forssa )";"Kolmiot+";.;.
"2016Q4";"30420 Tölö   (Forssa )";"Yksiöt";48;11.10
"2016Q4";"30420 Tölö   (Forssa )";"Kaksiot";34;9.51
"2016Q4";"30420 Tölö   (Forssa )";"Kolmiot+";.;.
"2016Q4";"31300 Tammela Keskus   (Tammela )";"Yksiöt";24;9.98
"2016Q4";"31300 Tammela Keskus   (Tammela )";"Kaksiot";23;8.82
"2016Q4";"31300 Tammela Keskus   (Tammela )";"Kolmiot+";.;.
"2016Q4";"31400 Somero Keskus   (Somero )";"Yksiöt";34;10.39
"2016Q4";"31400 Somero Keskus   (Somero )";"Kaksiot";.;.
"2016Q4";"31400 Somero Keskus   (Somero )";"Kolmiot+";.;.
"2016Q4";"31760 Urjala Keskus   (Urjala )";"Yksiöt";.;.
"2016Q4";"31760 Urjala Keskus   (Urjala )";"Kaksiot";.;.
"2016Q4";"31760 Urjala Keskus   (Urjala )";"Kolmiot+";.;.
"2016Q4";"32200 Loimaa Keskus   (Loimaa )";"Yksiöt";51;10.99
"2016Q4";"32200 Loimaa Keskus   (Loimaa )";"Kaksiot";30;8.53
"2016Q4";"32200 Loimaa Keskus   (Loimaa )";"Kolmiot+";.;.
"2016Q4";"32210 Loimaa kk   (Loimaa )";"Yksiöt";.;.
"2016Q4";"32210 Loimaa kk   (Loimaa )";"Kaksiot";.;.
"2016Q4";"32210 Loimaa kk   (Loimaa )";"Kolmiot+";.;.
"2016Q4";"32700 Huittinen Keskus   (Huittinen )";"Yksiöt";44;10.98
"2016Q4";"32700 Huittinen Keskus   (Huittinen )";"Kaksiot";59;8.26
"2016Q4";"32700 Huittinen Keskus   (Huittinen )";"Kolmiot+";.;.
"2016Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Yksiöt";.;.
"2016Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Kaksiot";26;7.74
"2016Q4";"32800 Kokemäki Keskus   (Kokemäki )";"Kolmiot+";.;.
"2016Q4";"33100 Tampere Keskus   (Tampere )";"Yksiöt";542;17.20
"2016Q4";"33100 Tampere Keskus   (Tampere )";"Kaksiot";384;12.05
"2016Q4";"33100 Tampere Keskus   (Tampere )";"Kolmiot+";109;11.35
"2016Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Yksiöt";349;17.95
"2016Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Kaksiot";235;12.41
"2016Q4";"33200 Tampere Keskus Läntinen   (Tampere )";"Kolmiot+";79;13.35
"2016Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Yksiöt";480;17.97
"2016Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Kaksiot";208;12.06
"2016Q4";"33210 Itä-Amuri-Tammerkoski   (Tampere )";"Kolmiot+";45;12.05
"2016Q4";"33230 Länsi-Amuri   (Tampere )";"Yksiöt";138;17.01
"2016Q4";"33230 Länsi-Amuri   (Tampere )";"Kaksiot";105;11.29
"2016Q4";"33230 Länsi-Amuri   (Tampere )";"Kolmiot+";24;11.37
"2016Q4";"33240 Tahmela   (Tampere )";"Yksiöt";56;16.50
"2016Q4";"33240 Tahmela   (Tampere )";"Kaksiot";.;.
"2016Q4";"33240 Tahmela   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33250 Pispala   (Tampere )";"Yksiöt";91;17.82
"2016Q4";"33250 Pispala   (Tampere )";"Kaksiot";.;.
"2016Q4";"33250 Pispala   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33270 Epilä   (Tampere )";"Yksiöt";62;15.32
"2016Q4";"33270 Epilä   (Tampere )";"Kaksiot";52;11.06
"2016Q4";"33270 Epilä   (Tampere )";"Kolmiot+";27;10.97
"2016Q4";"33300 Rahola   (Tampere )";"Yksiöt";62;15.53
"2016Q4";"33300 Rahola   (Tampere )";"Kaksiot";42;11.65
"2016Q4";"33300 Rahola   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33310 Tesoma   (Tampere )";"Yksiöt";53;14.27
"2016Q4";"33310 Tesoma   (Tampere )";"Kaksiot";112;11.60
"2016Q4";"33310 Tesoma   (Tampere )";"Kolmiot+";64;10.90
"2016Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Yksiöt";.;.
"2016Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Kaksiot";.;.
"2016Q4";"33330 Myllypuro-Kalkku   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Yksiöt";.;.
"2016Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Kaksiot";.;.
"2016Q4";"33340 Haukiluoma-Ikuri   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33400 Luoteis-Tampere   (Tampere )";"Yksiöt";.;.
"2016Q4";"33400 Luoteis-Tampere   (Tampere )";"Kaksiot";.;.
"2016Q4";"33400 Luoteis-Tampere   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33410 Lentävänniemi   (Tampere )";"Yksiöt";98;14.50
"2016Q4";"33410 Lentävänniemi   (Tampere )";"Kaksiot";81;10.85
"2016Q4";"33410 Lentävänniemi   (Tampere )";"Kolmiot+";34;10.16
"2016Q4";"33420 Lamminpää   (Tampere )";"Yksiöt";.;.
"2016Q4";"33420 Lamminpää   (Tampere )";"Kaksiot";.;.
"2016Q4";"33420 Lamminpää   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Yksiöt";48;13.86
"2016Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Kaksiot";59;10.92
"2016Q4";"33470 Ylöjärvi Keskus   (Ylöjärvi )";"Kolmiot+";45;9.67
"2016Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Yksiöt";479;16.90
"2016Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Kaksiot";362;11.59
"2016Q4";"33500 Osmonmäki-Petsamo   (Tampere )";"Kolmiot+";57;11.78
"2016Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Yksiöt";33;16.77
"2016Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Kaksiot";26;11.44
"2016Q4";"33520 Keskussairaala-alue-Kauppi   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33530 Kissanmaa   (Tampere )";"Yksiöt";95;15.63
"2016Q4";"33530 Kissanmaa   (Tampere )";"Kaksiot";52;10.53
"2016Q4";"33530 Kissanmaa   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33540 Kaleva   (Tampere )";"Yksiöt";436;16.98
"2016Q4";"33540 Kaleva   (Tampere )";"Kaksiot";270;10.79
"2016Q4";"33540 Kaleva   (Tampere )";"Kolmiot+";58;9.63
"2016Q4";"33560 Takahuhti   (Tampere )";"Yksiöt";66;15.98
"2016Q4";"33560 Takahuhti   (Tampere )";"Kaksiot";148;13.02
"2016Q4";"33560 Takahuhti   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33580 Atala-Linnainmaa   (Tampere )";"Yksiöt";96;16.79
"2016Q4";"33580 Atala-Linnainmaa   (Tampere )";"Kaksiot";81;13.91
"2016Q4";"33580 Atala-Linnainmaa   (Tampere )";"Kolmiot+";40;13.36
"2016Q4";"33710 Kaukajärvi   (Tampere )";"Yksiöt";196;16.09
"2016Q4";"33710 Kaukajärvi   (Tampere )";"Kaksiot";253;12.37
"2016Q4";"33710 Kaukajärvi   (Tampere )";"Kolmiot+";88;11.55
"2016Q4";"33720 Hervanta   (Tampere )";"Yksiöt";772;16.12
"2016Q4";"33720 Hervanta   (Tampere )";"Kaksiot";1157;12.11
"2016Q4";"33720 Hervanta   (Tampere )";"Kolmiot+";484;11.19
"2016Q4";"33800 Nekala   (Tampere )";"Yksiöt";480;17.95
"2016Q4";"33800 Nekala   (Tampere )";"Kaksiot";129;12.27
"2016Q4";"33800 Nekala   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33820 Koivistonkylä   (Tampere )";"Yksiöt";40;15.13
"2016Q4";"33820 Koivistonkylä   (Tampere )";"Kaksiot";74;11.80
"2016Q4";"33820 Koivistonkylä   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33840 Peltolammi   (Tampere )";"Yksiöt";28;14.17
"2016Q4";"33840 Peltolammi   (Tampere )";"Kaksiot";52;11.14
"2016Q4";"33840 Peltolammi   (Tampere )";"Kolmiot+";23;10.23
"2016Q4";"33850 Multisilta   (Pirkkala )";"Yksiöt";33;14.21
"2016Q4";"33850 Multisilta   (Pirkkala )";"Kaksiot";35;10.42
"2016Q4";"33850 Multisilta   (Pirkkala )";"Kolmiot+";.;.
"2016Q4";"33870 Vuores   (Lempäälä )";"Yksiöt";123;18.44
"2016Q4";"33870 Vuores   (Lempäälä )";"Kaksiot";108;14.51
"2016Q4";"33870 Vuores   (Lempäälä )";"Kolmiot+";.;.
"2016Q4";"33880 Höytämö   (Lempäälä )";"Yksiöt";.;.
"2016Q4";"33880 Höytämö   (Lempäälä )";"Kaksiot";31;10.34
"2016Q4";"33880 Höytämö   (Lempäälä )";"Kolmiot+";.;.
"2016Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Yksiöt";323;16.82
"2016Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Kaksiot";514;13.54
"2016Q4";"33900 Härmälä-Rantaperkiö   (Tampere )";"Kolmiot+";.;.
"2016Q4";"33950 Killo   (Pirkkala )";"Yksiöt";31;14.79
"2016Q4";"33950 Killo   (Pirkkala )";"Kaksiot";24;10.55
"2016Q4";"33950 Killo   (Pirkkala )";"Kolmiot+";.;.
"2016Q4";"33960 Suuppa   (Pirkkala )";"Yksiöt";39;14.05
"2016Q4";"33960 Suuppa   (Pirkkala )";"Kaksiot";26;10.81
"2016Q4";"33960 Suuppa   (Pirkkala )";"Kolmiot+";.;.
"2016Q4";"34130 Ylinen   (Ylöjärvi )";"Yksiöt";.;.
"2016Q4";"34130 Ylinen   (Ylöjärvi )";"Kaksiot";.;.
"2016Q4";"34130 Ylinen   (Ylöjärvi )";"Kolmiot+";.;.
"2016Q4";"34800 Virrat Keskus   (Virrat )";"Yksiöt";33;10.06
"2016Q4";"34800 Virrat Keskus   (Virrat )";"Kaksiot";20;8.29
"2016Q4";"34800 Virrat Keskus   (Virrat )";"Kolmiot+";.;.
"2016Q4";"35300 Orivesi Keskus   (Orivesi )";"Yksiöt";49;11.47
"2016Q4";"35300 Orivesi Keskus   (Orivesi )";"Kaksiot";36;9.50
"2016Q4";"35300 Orivesi Keskus   (Orivesi )";"Kolmiot+";.;.
"2016Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Yksiöt";28;10.16
"2016Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Kaksiot";35;8.40
"2016Q4";"35800 Mänttä   (Mänttä-Vilppula )";"Kolmiot+";.;.
"2016Q4";"36200 Kangasala Keskus   (Kangasala )";"Yksiöt";54;13.80
"2016Q4";"36200 Kangasala Keskus   (Kangasala )";"Kaksiot";33;11.00
"2016Q4";"36200 Kangasala Keskus   (Kangasala )";"Kolmiot+";.;.
"2016Q4";"36220 Suorama   (Kangasala )";"Yksiöt";.;.
"2016Q4";"36220 Suorama   (Kangasala )";"Kaksiot";.;.
"2016Q4";"36220 Suorama   (Kangasala )";"Kolmiot+";.;.
"2016Q4";"36240 Nattari   (Kangasala )";"Yksiöt";34;14.80
"2016Q4";"36240 Nattari   (Kangasala )";"Kaksiot";30;10.43
"2016Q4";"36240 Nattari   (Kangasala )";"Kolmiot+";.;.
"2016Q4";"37100 Nokia Keskus   (Nokia )";"Yksiöt";81;14.34
"2016Q4";"37100 Nokia Keskus   (Nokia )";"Kaksiot";78;10.76
"2016Q4";"37100 Nokia Keskus   (Nokia )";"Kolmiot+";.;.
"2016Q4";"37120 Koskenmäki   (Nokia )";"Yksiöt";26;13.48
"2016Q4";"37120 Koskenmäki   (Nokia )";"Kaksiot";48;10.24
"2016Q4";"37120 Koskenmäki   (Nokia )";"Kolmiot+";.;.
"2016Q4";"37240 Linnavuori   (Nokia )";"Yksiöt";.;.
"2016Q4";"37240 Linnavuori   (Nokia )";"Kaksiot";.;.
"2016Q4";"37240 Linnavuori   (Nokia )";"Kolmiot+";.;.
"2016Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Yksiöt";36;13.51
"2016Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Kaksiot";36;11.36
"2016Q4";"37500 Lempäälä Keskus   (Lempäälä )";"Kolmiot+";.;.
"2016Q4";"37550 Kuivaspää   (Lempäälä )";"Yksiöt";.;.
"2016Q4";"37550 Kuivaspää   (Lempäälä )";"Kaksiot";.;.
"2016Q4";"37550 Kuivaspää   (Lempäälä )";"Kolmiot+";.;.
"2016Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Yksiöt";119;12.62
"2016Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Kaksiot";110;10.03
"2016Q4";"37600 Valkeakoski Keskus   (Valkeakoski )";"Kolmiot+";35;9.44
"2016Q4";"37630 Vääräkoivu   (Valkeakoski )";"Yksiöt";52;12.58
"2016Q4";"37630 Vääräkoivu   (Valkeakoski )";"Kaksiot";39;10.08
"2016Q4";"37630 Vääräkoivu   (Valkeakoski )";"Kolmiot+";.;.
"2016Q4";"37800 Toijala keskus   (Akaa )";"Yksiöt";39;12.27
"2016Q4";"37800 Toijala keskus   (Akaa )";"Kaksiot";61;10.48
"2016Q4";"37800 Toijala keskus   (Akaa )";"Kolmiot+";.;.
"2016Q4";"37830 Viiala Keskus   (Akaa )";"Yksiöt";.;.
"2016Q4";"37830 Viiala Keskus   (Akaa )";"Kaksiot";.;.
"2016Q4";"37830 Viiala Keskus   (Akaa )";"Kolmiot+";.;.
"2016Q4";"38200 Vammala Keskus   (Sastamala )";"Yksiöt";79;12.64
"2016Q4";"38200 Vammala Keskus   (Sastamala )";"Kaksiot";72;9.77
"2016Q4";"38200 Vammala Keskus   (Sastamala )";"Kolmiot+";26;9.77
"2016Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Yksiöt";.;.
"2016Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Kaksiot";23;9.25
"2016Q4";"38210 Vammala Asemanseutu   (Sastamala )";"Kolmiot+";.;.
"2016Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Yksiöt";45;11.04
"2016Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Kaksiot";33;8.70
"2016Q4";"38700 Kankaanpää Keskus   (Kankaanpää )";"Kolmiot+";.;.
"2016Q4";"38710 Myllymäki   (Kankaanpää )";"Yksiöt";25;10.45
"2016Q4";"38710 Myllymäki   (Kankaanpää )";"Kaksiot";.;.
"2016Q4";"38710 Myllymäki   (Kankaanpää )";"Kolmiot+";.;.
"2016Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Yksiöt";.;.
"2016Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Kaksiot";.;.
"2016Q4";"39200 Kyröskoski   (Hämeenkyrö )";"Kolmiot+";.;.
"2016Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Yksiöt";41;10.84
"2016Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Kaksiot";27;9.29
"2016Q4";"39500 Ikaalinen Keskus   (Ikaalinen )";"Kolmiot+";.;.
"2016Q4";"39700 Parkano Keskus   (Parkano )";"Yksiöt";.;.
"2016Q4";"39700 Parkano Keskus   (Parkano )";"Kaksiot";.;.
"2016Q4";"39700 Parkano Keskus   (Parkano )";"Kolmiot+";.;.
"2016Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Yksiöt";609;17.81
"2016Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Kaksiot";818;12.32
"2016Q4";"40100 Jyväskylä Keskus   (Jyväskylä )";"Kolmiot+";182;11.75
"2016Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Yksiöt";184;16.70
"2016Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Kaksiot";135;11.79
"2016Q4";"40200 Mannila-Taulumäki   (Jyväskylä )";"Kolmiot+";23;10.43
"2016Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Yksiöt";34;15.38
"2016Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Kaksiot";72;11.72
"2016Q4";"40250 Ritoniemi-Lohikoski   (Jyväskylä )";"Kolmiot+";23;10.53
"2016Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Yksiöt";31;14.46
"2016Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Kaksiot";48;11.09
"2016Q4";"40270 Pappilanrinne-Pappilanvuori   (Jyväskylä )";"Kolmiot+";31;11.49
"2016Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Yksiöt";92;15.55
"2016Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Kaksiot";142;12.18
"2016Q4";"40320 Seppälän Teollisuusalue   (Jyväskylä )";"Kolmiot+";44;11.84
"2016Q4";"40340 Huhtasuo   (Jyväskylä )";"Yksiöt";175;14.35
"2016Q4";"40340 Huhtasuo   (Jyväskylä )";"Kaksiot";253;10.74
"2016Q4";"40340 Huhtasuo   (Jyväskylä )";"Kolmiot+";145;10.26
"2016Q4";"40400 Halssila   (Jyväskylä )";"Yksiöt";.;.
"2016Q4";"40400 Halssila   (Jyväskylä )";"Kaksiot";20;10.38
"2016Q4";"40400 Halssila   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40420 Jyskä   (Jyväskylä )";"Yksiöt";44;14.63
"2016Q4";"40420 Jyskä   (Jyväskylä )";"Kaksiot";61;11.12
"2016Q4";"40420 Jyskä   (Jyväskylä )";"Kolmiot+";24;10.18
"2016Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Yksiöt";20;16.17
"2016Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Kaksiot";49;12.58
"2016Q4";"40500 Keljo-Ristonmaa   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Yksiöt";106;16.44
"2016Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Kaksiot";174;12.26
"2016Q4";"40520 Kuokkala-Ristikivi   (Jyväskylä )";"Kolmiot+";92;12.81
"2016Q4";"40530 Keljonkangas   (Jyväskylä )";"Yksiöt";25;16.22
"2016Q4";"40530 Keljonkangas   (Jyväskylä )";"Kaksiot";21;11.50
"2016Q4";"40530 Keljonkangas   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40600 Mattilanpelto   (Jyväskylä )";"Yksiöt";95;16.33
"2016Q4";"40600 Mattilanpelto   (Jyväskylä )";"Kaksiot";57;9.84
"2016Q4";"40600 Mattilanpelto   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Yksiöt";.;.
"2016Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Kaksiot";.;.
"2016Q4";"40620 Keskussairaala-alue-Kukkumäki   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40630 Kypärämäki   (Jyväskylä )";"Yksiöt";27;14.13
"2016Q4";"40630 Kypärämäki   (Jyväskylä )";"Kaksiot";22;10.69
"2016Q4";"40630 Kypärämäki   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40640 Keltinmäki   (Jyväskylä )";"Yksiöt";146;14.53
"2016Q4";"40640 Keltinmäki   (Jyväskylä )";"Kaksiot";147;11.06
"2016Q4";"40640 Keltinmäki   (Jyväskylä )";"Kolmiot+";32;10.11
"2016Q4";"40700 Mäki-Matti   (Jyväskylä )";"Yksiöt";255;17.00
"2016Q4";"40700 Mäki-Matti   (Jyväskylä )";"Kaksiot";286;11.45
"2016Q4";"40700 Mäki-Matti   (Jyväskylä )";"Kolmiot+";82;11.32
"2016Q4";"40720 Nisula   (Jyväskylä )";"Yksiöt";107;15.96
"2016Q4";"40720 Nisula   (Jyväskylä )";"Kaksiot";90;10.40
"2016Q4";"40720 Nisula   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40740 Kortepohja   (Jyväskylä )";"Yksiöt";124;15.22
"2016Q4";"40740 Kortepohja   (Jyväskylä )";"Kaksiot";130;10.86
"2016Q4";"40740 Kortepohja   (Jyväskylä )";"Kolmiot+";39;10.52
"2016Q4";"40800 Vaajakoski   (Jyväskylä )";"Yksiöt";54;13.82
"2016Q4";"40800 Vaajakoski   (Jyväskylä )";"Kaksiot";62;11.02
"2016Q4";"40800 Vaajakoski   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40900 Säynätsalo   (Jyväskylä )";"Yksiöt";.;.
"2016Q4";"40900 Säynätsalo   (Jyväskylä )";"Kaksiot";.;.
"2016Q4";"40900 Säynätsalo   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"40950 Muurame Keskus   (Muurame )";"Yksiöt";.;.
"2016Q4";"40950 Muurame Keskus   (Muurame )";"Kaksiot";.;.
"2016Q4";"40950 Muurame Keskus   (Muurame )";"Kolmiot+";.;.
"2016Q4";"41160 Tikkakoski   (Jyväskylä )";"Yksiöt";.;.
"2016Q4";"41160 Tikkakoski   (Jyväskylä )";"Kaksiot";.;.
"2016Q4";"41160 Tikkakoski   (Jyväskylä )";"Kolmiot+";.;.
"2016Q4";"41340 Laukaa Keskus   (Laukaa )";"Yksiöt";22;11.61
"2016Q4";"41340 Laukaa Keskus   (Laukaa )";"Kaksiot";.;.
"2016Q4";"41340 Laukaa Keskus   (Laukaa )";"Kolmiot+";.;.
"2018Q4";"20540 Nummi-Ylioppilaskylä   (Turku )";"Yksiöt";154;15.32
"2018Q4";"20540 Nummi-Ylioppilaskylä   (Turku )";"Kaksiot";167;12.05
"2018Q4";"20540 Nummi-Ylioppilaskylä   (Turku )";"Kolmiot+";84;11.18
"2018Q4";"20610 Varissuo   (Turku )";"Yksiöt";184;14.82
"2018Q4";"20610 Varissuo   (Turku )";"Kaksiot";218;10.53
"2018Q4";"20610 Varissuo   (Turku )";"Kolmiot+";132;10.10
"2018Q4";"20700 Vartiovuori-Samppalinna   (Turku )";"Yksiöt";288;17.11
"2018Q4";"20700 Vartiovuori-Samppalinna   (Turku )";"Kaksiot";332;13.29
"2018Q4";"20700 Vartiovuori-Samppalinna   (Turku )";"Kolmiot+";36;11.42
"2018Q4";"20720 Vasaramäki   (Turku )";"Yksiöt";144;16.13
"2018Q4";"20720 Vasaramäki   (Turku )";"Kaksiot";87;11.68
"2018Q4";"20720 Vasaramäki   (Turku )";"Kolmiot+";25;10.88
"2018Q4";"20740 Ilpoinen-Harittu   (Turku )";"Yksiöt";83;14.77
"2018Q4";"20740 Ilpoinen-Harittu   (Turku )";"Kaksiot";139;11.81
"2018Q4";"20740 Ilpoinen-Harittu   (Turku )";"Kolmiot+";.;.
"2018Q4";"20750 Huhkola-Lauste-Vaala   (Turku )";"Yksiöt";53;13.86
"2018Q4";"20750 Huhkola-Lauste-Vaala   (Turku )";"Kaksiot";52;10.04
"2018Q4";"20750 Huhkola-Lauste-Vaala   (Turku )";"Kolmiot+";33;9.81
"2018Q4";"20760 Piispanristi   (Kaarina )";"Yksiöt";21;13.63
"2018Q4";"20760 Piispanristi   (Kaarina )";"Kaksiot";.;.
"2018Q4";"20760 Piispanristi   (Kaarina )";"Kolmiot+";.;.
"2018Q4";"20780 Kaarina Keskus   (Kaarina )";"Yksiöt";34;13.24
"2018Q4";"20780 Kaarina Keskus   (Kaarina )";"Kaksiot";48;10.95
"2018Q4";"20780 Kaarina Keskus   (Kaarina )";"Kolmiot+";.;.
"2018Q4";"20810 Martti-Korppolaismäki   (Turku )";"Yksiöt";386;16.91
"2018Q4";"20810 Martti-Korppolaismäki   (Turku )";"Kaksiot";420;14.16
"2018Q4";"20810 Martti-Korppolaismäki   (Turku )";"Kolmiot+";116;12.70
"2018Q4";"20880 Uittamo   (Turku )";"Yksiöt";60;15.27
"2018Q4";"20880 Uittamo   (Turku )";"Kaksiot";40;10.83
"2018Q4";"20880 Uittamo   (Turku )";"Kolmiot+";.;.
"2018Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Yksiöt";.;.
"2018Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Kaksiot";.;.
"2018Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Kolmiot+";60;12.09
"2018Q4";"21100 Naantali Keskus   (Naantali )";"Yksiöt";53;13.43
"2018Q4";"21100 Naantali Keskus   (Naantali )";"Kaksiot";60;11.49
"2018Q4";"21100 Naantali Keskus   (Naantali )";"Kolmiot+";.;.
"2018Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Yksiöt";.;.
"2018Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Kaksiot";.;.
"2018Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Kolmiot+";.;.
"2018Q4";"21200 Raisio Keskus   (Raisio )";"Yksiöt";117;14.02
"2018Q4";"21200 Raisio Keskus   (Raisio )";"Kaksiot";110;11.55
"2018Q4";"21200 Raisio Keskus   (Raisio )";"Kolmiot+";36;11.07
"2018Q4";"21250 Masku   (Masku )";"Yksiöt";.;.
"2018Q4";"21250 Masku   (Masku )";"Kaksiot";.;.
"2018Q4";"21250 Masku   (Masku )";"Kolmiot+";.;.
"2018Q4";"21380 Aura Keskus   (Aura )";"Yksiöt";.;.
"2018Q4";"21380 Aura Keskus   (Aura )";"Kaksiot";.;.
"2018Q4";"21380 Aura Keskus   (Aura )";"Kolmiot+";.;.
"2018Q4";"21420 Lieto Keskus   (Lieto )";"Yksiöt";.;.
"2018Q4";"21420 Lieto Keskus   (Lieto )";"Kaksiot";.;.
"2018Q4";"21420 Lieto Keskus   (Lieto )";"Kolmiot+";.;.
"2018Q4";"21500 Piikkiö   (Kaarina )";"Yksiöt";.;.
"2018Q4";"21500 Piikkiö   (Kaarina )";"Kaksiot";.;.
"2018Q4";"21500 Piikkiö   (Kaarina )";"Kolmiot+";.;.
"2018Q4";"21530 Paimio Keskus   (Paimio )";"Yksiöt";49;11.86
"2018Q4";"21530 Paimio Keskus   (Paimio )";"Kaksiot";35;9.72
"2018Q4";"21530 Paimio Keskus   (Paimio )";"Kolmiot+";.;.
"2018Q4";"21600 Parainen Keskus   (Parainen )";"Yksiöt";.;.
"2018Q4";"21600 Parainen Keskus   (Parainen )";"Kaksiot";23;10.03
"2018Q4";"21600 Parainen Keskus   (Parainen )";"Kolmiot+";.;.
"2018Q4";"21800 Kyrö   (Pöytyä )";"Yksiöt";.;.
"2018Q4";"21800 Kyrö   (Pöytyä )";"Kaksiot";.;.
"2018Q4";"21800 Kyrö   (Pöytyä )";"Kolmiot+";.;.
"2018Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Yksiöt";.;.
"2018Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Kaksiot";.;.
"2018Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Kolmiot+";.;.
"2018Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Yksiöt";30;12.00
"2018Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Kaksiot";42;9.92
