toimipaikka;osasto;vuosi;kuukausi;kävijöitä
Myyrmäen kirjasto;;2010;7;28689
Myyrmäen kirjasto;;2010;8;34892
Myyrmäen kirjasto;;2010;9;36060
Myyrmäen kirjasto;;2010;10;37430
Myyrmäen kirjasto;;2010;11;31430
Myyrmäen kirjasto;;2010;12;20746
Myyrmäen kirjasto;tietopaja;2010;1;1430
Myyrmäen kirjasto;tietopaja;2010;2;1300
Myyrmäen kirjasto;tietopaja;2010;3;1352
Myyrmäen kirjasto;tietopaja;2010;4;832
Myyrmäen kirjasto;tietopaja;2010;5;1482
Myyrmäen kirjasto;tietopaja;2010;6;1326
Myyrmäen kirjasto;tietopaja;2010;7;936
Myyrmäen kirjasto;tietopaja;2010;8;1222
Myyrmäen kirjasto;tietopaja;2010;9;1560
Myyrmäen kirjasto;tietopaja;2010;10;1378
Myyrmäen kirjasto;tietopaja;2010;11;1066
Myyrmäen kirjasto;tietopaja;2010;12;1170
Pointin kirjasto (Pakkala);;2010;1;8425
Pointin kirjasto (Pakkala);;2010;2;8933
Pointin kirjasto (Pakkala);;2010;3;11700
Pointin kirjasto (Pakkala);;2010;4;9691
Pointin kirjasto (Pakkala);;2010;5;9262
Pointin kirjasto (Pakkala);;2010;6;6049
Pointin kirjasto (Pakkala);;2010;7;2831
Pointin kirjasto (Pakkala);;2010;8;10413
Pointin kirjasto (Pakkala);;2010;9;11535
Pointin kirjasto (Pakkala);;2010;10;10861
Pointin kirjasto (Pakkala);;2010;11;9790
Pointin kirjasto (Pakkala);;2010;12;7486
Tikkurilan kirjasto;aikuiset;2010;1;18490
Tikkurilan kirjasto;aikuiset;2010;2;18115
Tikkurilan kirjasto;aikuiset;2010;3;24522
Tikkurilan kirjasto;aikuiset;2010;4;21528
Tikkurilan kirjasto;aikuiset;2010;5;20677
Tikkurilan kirjasto;aikuiset;2010;6;18523
Tikkurilan kirjasto;aikuiset;2010;7;17624
Tikkurilan kirjasto;aikuiset;2010;8;20399
Tikkurilan kirjasto;aikuiset;2010;9;21497
Tikkurilan kirjasto;aikuiset;2010;10;20280
Tikkurilan kirjasto;aikuiset;2010;11;18855
Tikkurilan kirjasto;aikuiset;2010;12;15478
Tikkurilan kirjasto;musiikki;2010;1;4806
Tikkurilan kirjasto;musiikki;2010;2;4303
Tikkurilan kirjasto;musiikki;2010;3;5462
Tikkurilan kirjasto;musiikki;2010;4;4638
Tikkurilan kirjasto;musiikki;2010;5;4440
Tikkurilan kirjasto;musiikki;2010;6;4045
Tikkurilan kirjasto;musiikki;2010;7;3887
Tikkurilan kirjasto;musiikki;2010;8;4332
Tikkurilan kirjasto;musiikki;2010;9;4997
Tikkurilan kirjasto;musiikki;2010;10;4913
Tikkurilan kirjasto;musiikki;2010;11;4673
Tikkurilan kirjasto;musiikki;2010;12;3867
Tikkurilan kirjasto;lapset;2010;1;10783
Tikkurilan kirjasto;lapset;2010;2;11590
Tikkurilan kirjasto;lapset;2010;3;13108
Tikkurilan kirjasto;lapset;2010;4;11850
Tikkurilan kirjasto;lapset;2010;5;12387
Tikkurilan kirjasto;lapset;2010;6;12513
Tikkurilan kirjasto;lapset;2010;7;11543
Tikkurilan kirjasto;lapset;2010;8;14109
Tikkurilan kirjasto;lapset;2010;9;14260
Tikkurilan kirjasto;lapset;2010;10;12995
Tikkurilan kirjasto;lapset;2010;11;12107
Tikkurilan kirjasto;lapset;2010;12;9649
Hakunilan kirjasto;;2011;1;9822
Hakunilan kirjasto;;2011;2;10081
Hakunilan kirjasto;;2011;3;11433
Hakunilan kirjasto;;2011;4;11832
Hakunilan kirjasto;;2011;5;9460
Hakunilan kirjasto;;2011;6;8806
Hakunilan kirjasto;;2011;7;8167
Hakunilan kirjasto;;2011;8;10735
Hakunilan kirjasto;;2011;9;11793
Hakunilan kirjasto;;2011;10;11454
Hakunilan kirjasto;;2011;11;11084
Hakunilan kirjasto;;2011;12;9646
Hiekkaharjun kirjasto;;2011;1;679
Hiekkaharjun kirjasto;;2011;2;741
Hiekkaharjun kirjasto;;2011;3;860
Hiekkaharjun kirjasto;;2011;4;749
Hiekkaharjun kirjasto;;2011;5;724
Hiekkaharjun kirjasto;;2011;6;0
Hiekkaharjun kirjasto;;2011;7;0
Hiekkaharjun kirjasto;;2011;8;778
Hiekkaharjun kirjasto;;2011;9;824
Hiekkaharjun kirjasto;;2011;10;828
Hiekkaharjun kirjasto;;2011;11;858
Hiekkaharjun kirjasto;;2011;12;759
Pähkinärinteen kirjasto;;2011;1;3735
Pähkinärinteen kirjasto;;2011;2;4076
Pähkinärinteen kirjasto;;2011;3;4726
Pähkinärinteen kirjasto;;2011;4;4117
Pähkinärinteen kirjasto;;2011;5;3983
Pähkinärinteen kirjasto;;2011;6;3184
Pähkinärinteen kirjasto;;2011;7;0
Pähkinärinteen kirjasto;;2011;8;4276
Pähkinärinteen kirjasto;;2011;9;4528
Pähkinärinteen kirjasto;;2011;10;4554
Pähkinärinteen kirjasto;;2011;11;4718
Pähkinärinteen kirjasto;;2011;12;4175
Kirjastoautot;;2011;1;5873
Kirjastoautot;;2011;2;6407
Kirjastoautot;;2011;3;7431
Kirjastoautot;;2011;4;6473
Kirjastoautot;;2011;5;6262
Kirjastoautot;;2011;6;5007
Kirjastoautot;;2011;7;0
Kirjastoautot;;2011;8;6722
Kirjastoautot;;2011;9;7119
Kirjastoautot;;2011;10;7160
Kirjastoautot;;2011;11;7417
Kirjastoautot;;2011;12;6565
Koivukylän kirjasto;;2011;1;11743
Koivukylän kirjasto;;2011;2;12307
Koivukylän kirjasto;;2011;3;17254
Koivukylän kirjasto;;2011;4;15060
Koivukylän kirjasto;;2011;5;12495
Koivukylän kirjasto;;2011;6;10582
Koivukylän kirjasto;;2011;7;8803
Koivukylän kirjasto;;2011;8;11791
Koivukylän kirjasto;;2011;9;16237
Koivukylän kirjasto;;2011;10;15113
Koivukylän kirjasto;;2011;11;13669
Koivukylän kirjasto;;2011;12;15433
Lumon kirjasto (Korso);;2011;1;17128
Lumon kirjasto (Korso);;2011;2;17125
Lumon kirjasto (Korso);;2011;3;19778
Lumon kirjasto (Korso);;2011;4;16837
Lumon kirjasto (Korso);;2011;5;16497
Lumon kirjasto (Korso);;2011;6;12103
Lumon kirjasto (Korso);;2011;7;10876
Lumon kirjasto (Korso);;2011;8;17156
Lumon kirjasto (Korso);;2011;9;20242
Lumon kirjasto (Korso);;2011;10;19147
Lumon kirjasto (Korso);;2011;11;18861
Lumon kirjasto (Korso);;2011;12;16395
Länsimäen kirjasto;;2011;1;5605
Länsimäen kirjasto;;2011;2;6158
Länsimäen kirjasto;;2011;3;6781
Länsimäen kirjasto;;2011;4;7541
Länsimäen kirjasto;;2011;5;7531
Länsimäen kirjasto;;2011;6;5398
Länsimäen kirjasto;;2011;7;6649
Länsimäen kirjasto;;2011;8;9993
Länsimäen kirjasto;;2011;9;7311
Länsimäen kirjasto;;2011;10;8024
Länsimäen kirjasto;;2011;11;7786
Länsimäen kirjasto;;2011;12;6384
Martinlaakson kirjasto;;2011;1;9776
Martinlaakson kirjasto;;2011;2;9805
Martinlaakson kirjasto;;2011;3;11908
Martinlaakson kirjasto;;2011;4;12784
Martinlaakson kirjasto;;2011;5;11012
Martinlaakson kirjasto;;2011;6;8712
Martinlaakson kirjasto;;2011;7;8255
Martinlaakson kirjasto;;2011;8;11224
Martinlaakson kirjasto;;2011;9;11408
Martinlaakson kirjasto;;2011;10;11577
Martinlaakson kirjasto;;2011;11;11690
Martinlaakson kirjasto;;2011;12;10548
Mikkolan kirjasto;;2011;1;4000
Mikkolan kirjasto;;2011;2;4000
Mikkolan kirjasto;;2011;3;4000
Mikkolan kirjasto;;2011;4;4743
Mikkolan kirjasto;;2011;5;2964
Mikkolan kirjasto;;2011;6;2580
Mikkolan kirjasto;;2011;7;0
Mikkolan kirjasto;;2011;8;2210
Mikkolan kirjasto;;2011;9;6299
Mikkolan kirjasto;;2011;10;4467
Mikkolan kirjasto;;2011;11;4320
Mikkolan kirjasto;;2011;12;3733
Myyrmäen kirjasto;;2011;1;21391
Myyrmäen kirjasto;;2011;2;33064
Myyrmäen kirjasto;;2011;3;34926
Myyrmäen kirjasto;;2011;4;24777
Myyrmäen kirjasto;;2011;5;24583
Myyrmäen kirjasto;;2011;6;18319
Myyrmäen kirjasto;;2011;7;17999
Myyrmäen kirjasto;;2011;8;30292
Myyrmäen kirjasto;;2011;9;24838
Myyrmäen kirjasto;;2011;10;29163
Myyrmäen kirjasto;;2011;11;35279
Myyrmäen kirjasto;;2011;12;28299
Myyrmäen kirjasto;tietopaja;2011;1;1794
Myyrmäen kirjasto;tietopaja;2011;2;1846
Myyrmäen kirjasto;tietopaja;2011;3;1456
Myyrmäen kirjasto;tietopaja;2011;4;624
Myyrmäen kirjasto;tietopaja;2011;5;1586
Myyrmäen kirjasto;tietopaja;2011;6;1482
Myyrmäen kirjasto;tietopaja;2011;7;1846
Myyrmäen kirjasto;tietopaja;2011;8;1170
Myyrmäen kirjasto;tietopaja;2011;9;1248
Myyrmäen kirjasto;tietopaja;2011;10;0
Myyrmäen kirjasto;tietopaja;2011;11;1924
Myyrmäen kirjasto;tietopaja;2011;12;1638
Pointin kirjasto (Pakkala);;2011;1;8292
Pointin kirjasto (Pakkala);;2011;2;8056
Pointin kirjasto (Pakkala);;2011;3;10503
Pointin kirjasto (Pakkala);;2011;4;9422
Pointin kirjasto (Pakkala);;2011;5;9534
Pointin kirjasto (Pakkala);;2011;6;6798
Pointin kirjasto (Pakkala);;2011;7;6186
Pointin kirjasto (Pakkala);;2011;8;10010
Pointin kirjasto (Pakkala);;2011;9;11873
Pointin kirjasto (Pakkala);;2011;10;11263
Pointin kirjasto (Pakkala);;2011;11;11763
Pointin kirjasto (Pakkala);;2011;12;8429
Tikkurilan kirjasto;aikuiset;2011;1;19303
Tikkurilan kirjasto;aikuiset;2011;2;18115
Tikkurilan kirjasto;aikuiset;2011;3;19081
Tikkurilan kirjasto;aikuiset;2011;4;19021
Tikkurilan kirjasto;aikuiset;2011;5;19301
Tikkurilan kirjasto;aikuiset;2011;6;16018
Tikkurilan kirjasto;aikuiset;2011;7;16715
Tikkurilan kirjasto;aikuiset;2011;8;19045
Tikkurilan kirjasto;aikuiset;2011;9;20456
Tikkurilan kirjasto;aikuiset;2011;10;21168
Tikkurilan kirjasto;aikuiset;2011;11;19967
Tikkurilan kirjasto;aikuiset;2011;12;17649
Tikkurilan kirjasto;musiikki;2011;1;4068
Tikkurilan kirjasto;musiikki;2011;2;4392
Tikkurilan kirjasto;musiikki;2011;3;4989
Tikkurilan kirjasto;musiikki;2011;4;4201
Tikkurilan kirjasto;musiikki;2011;5;4400
Tikkurilan kirjasto;musiikki;2011;6;3527
Tikkurilan kirjasto;musiikki;2011;7;3452
Tikkurilan kirjasto;musiikki;2011;8;4479
Tikkurilan kirjasto;musiikki;2011;9;5106
Tikkurilan kirjasto;musiikki;2011;10;5158
Tikkurilan kirjasto;musiikki;2011;11;4957
Tikkurilan kirjasto;musiikki;2011;12;3986
Tikkurilan kirjasto;lapset;2011;1;10650
Tikkurilan kirjasto;lapset;2011;2;9552
Tikkurilan kirjasto;lapset;2011;3;12895
Tikkurilan kirjasto;lapset;2011;4;11078
Tikkurilan kirjasto;lapset;2011;5;12675
Tikkurilan kirjasto;lapset;2011;6;10822
Tikkurilan kirjasto;lapset;2011;7;10510
Tikkurilan kirjasto;lapset;2011;8;14567
Tikkurilan kirjasto;lapset;2011;9;14968
Tikkurilan kirjasto;lapset;2011;10;14918
Tikkurilan kirjasto;lapset;2011;11;14760
Tikkurilan kirjasto;lapset;2011;12;15387
Hakunilan kirjasto;;2012;1;9032
Hakunilan kirjasto;;2012;2;9351
Hakunilan kirjasto;;2012;3;10277
Hakunilan kirjasto;;2012;4;8522
Hakunilan kirjasto;;2012;5;9148
Hakunilan kirjasto;;2012;6;7907
Hakunilan kirjasto;;2012;7;8292
Hakunilan kirjasto;;2012;8;9983
Hakunilan kirjasto;;2012;9;9899
Hakunilan kirjasto;;2012;10;12844
Hakunilan kirjasto;;2012;11;450
Hakunilan kirjasto;;2012;12;0
Hiekkaharjun kirjasto;;2012;1;472
Hiekkaharjun kirjasto;;2012;2;455
Hiekkaharjun kirjasto;;2012;3;536
Hiekkaharjun kirjasto;;2012;4;466
Hiekkaharjun kirjasto;;2012;5;449
Hiekkaharjun kirjasto;;2012;6;0
Hiekkaharjun kirjasto;;2012;7;0
Hiekkaharjun kirjasto;;2012;8;481
Hiekkaharjun kirjasto;;2012;9;513
Hiekkaharjun kirjasto;;2012;10;588
Hiekkaharjun kirjasto;;2012;11;488
Hiekkaharjun kirjasto;;2012;12;362
Pähkinärinteen kirjasto;;2012;1;4258
Pähkinärinteen kirjasto;;2012;2;4102
Pähkinärinteen kirjasto;;2012;3;4836
Pähkinärinteen kirjasto;;2012;4;4206
Pähkinärinteen kirjasto;;2012;5;4047
Pähkinärinteen kirjasto;;2012;6;3415
Pähkinärinteen kirjasto;;2012;7;0
Pähkinärinteen kirjasto;;2012;8;4343
Pähkinärinteen kirjasto;;2012;9;4626
Pähkinärinteen kirjasto;;2012;10;5303
Pähkinärinteen kirjasto;;2012;11;4403
Pähkinärinteen kirjasto;;2012;12;3261
Kirjastoautot;;2012;1;5800
Kirjastoautot;;2012;2;5587
Kirjastoautot;;2012;3;6588
Kirjastoautot;;2012;4;5730
Kirjastoautot;;2012;5;5513
Kirjastoautot;;2012;6;4652
Kirjastoautot;;2012;7;0
Kirjastoautot;;2012;8;5916
Kirjastoautot;;2012;9;6302
Kirjastoautot;;2012;10;7224
Kirjastoautot;;2012;11;5998
Kirjastoautot;;2012;12;4442
Koivukylän kirjasto;;2012;1;13729
Koivukylän kirjasto;;2012;2;14097
Koivukylän kirjasto;;2012;3;18607
Koivukylän kirjasto;;2012;4;14030
Koivukylän kirjasto;;2012;5;14377
Koivukylän kirjasto;;2012;6;12070
Koivukylän kirjasto;;2012;7;12493
Koivukylän kirjasto;;2012;8;14530
Koivukylän kirjasto;;2012;9;16303
Koivukylän kirjasto;;2012;10;22376
Koivukylän kirjasto;;2012;11;18288
Koivukylän kirjasto;;2012;12;16726
Lumon kirjasto (Korso);;2012;1;20361
Lumon kirjasto (Korso);;2012;2;18445
Lumon kirjasto (Korso);;2012;3;22603
Lumon kirjasto (Korso);;2012;4;19273
Lumon kirjasto (Korso);;2012;5;17989
Lumon kirjasto (Korso);;2012;6;14018
Lumon kirjasto (Korso);;2012;7;10701
Lumon kirjasto (Korso);;2012;8;17514
Lumon kirjasto (Korso);;2012;9;19596
Lumon kirjasto (Korso);;2012;10;22366
Lumon kirjasto (Korso);;2012;11;21215
Lumon kirjasto (Korso);;2012;12;14399
Länsimäen kirjasto;;2012;1;5345
Länsimäen kirjasto;;2012;2;5908
Länsimäen kirjasto;;2012;3;7491
Länsimäen kirjasto;;2012;4;6630
Länsimäen kirjasto;;2012;5;6693
Länsimäen kirjasto;;2012;6;5061
Länsimäen kirjasto;;2012;7;6220
Länsimäen kirjasto;;2012;8;7774
Länsimäen kirjasto;;2012;9;7438
Länsimäen kirjasto;;2012;10;9700
Länsimäen kirjasto;;2012;11;7719
Länsimäen kirjasto;;2012;12;5235
Martinlaakson kirjasto;;2012;1;9810
Martinlaakson kirjasto;;2012;2;10747
Martinlaakson kirjasto;;2012;3;13115
Martinlaakson kirjasto;;2012;4;10461
Martinlaakson kirjasto;;2012;5;10533
Martinlaakson kirjasto;;2012;6;8855
Martinlaakson kirjasto;;2012;7;9251
Martinlaakson kirjasto;;2012;8;11073
Martinlaakson kirjasto;;2012;9;11498
Martinlaakson kirjasto;;2012;10;14655
Martinlaakson kirjasto;;2012;11;11171
Martinlaakson kirjasto;;2012;12;7980
Mikkolan kirjasto;;2012;1;4000
Mikkolan kirjasto;;2012;2;4000
Mikkolan kirjasto;;2012;3;4000
Mikkolan kirjasto;;2012;4;4105
Mikkolan kirjasto;;2012;5;3086
Mikkolan kirjasto;;2012;6;1548
Mikkolan kirjasto;;2012;7;246
Mikkolan kirjasto;;2012;8;3169
Mikkolan kirjasto;;2012;9;3932
Mikkolan kirjasto;;2012;10;4110
Mikkolan kirjasto;;2012;11;3964
Mikkolan kirjasto;;2012;12;2469
Myyrmäen kirjasto;;2012;1;35218
Myyrmäen kirjasto;;2012;2;31168
Myyrmäen kirjasto;;2012;3;33189
Myyrmäen kirjasto;;2012;4;34334
Myyrmäen kirjasto;;2012;5;30139
Myyrmäen kirjasto;;2012;6;24866
Myyrmäen kirjasto;;2012;7;29900
Myyrmäen kirjasto;;2012;8;35063
Myyrmäen kirjasto;;2012;9;34939
Myyrmäen kirjasto;;2012;10;38061
Myyrmäen kirjasto;;2012;11;33320
Myyrmäen kirjasto;;2012;12;26227
Pointin kirjasto (Pakkala);;2012;1;9396
Pointin kirjasto (Pakkala);;2012;2;8902
Pointin kirjasto (Pakkala);;2012;3;12103
Pointin kirjasto (Pakkala);;2012;4;9253
Pointin kirjasto (Pakkala);;2012;5;9772
Pointin kirjasto (Pakkala);;2012;6;6649
Pointin kirjasto (Pakkala);;2012;7;7052
Pointin kirjasto (Pakkala);;2012;8;9996
Pointin kirjasto (Pakkala);;2012;9;11535
Pointin kirjasto (Pakkala);;2012;10;12340
Pointin kirjasto (Pakkala);;2012;11;12920
Pointin kirjasto (Pakkala);;2012;12;8536
Tikkurilan kirjasto;aikuiset;2012;1;18500
Tikkurilan kirjasto;aikuiset;2012;2;19025
Tikkurilan kirjasto;aikuiset;2012;3;21947
Tikkurilan kirjasto;aikuiset;2012;4;19498
Tikkurilan kirjasto;aikuiset;2012;5;18446
Tikkurilan kirjasto;aikuiset;2012;6;16928
Tikkurilan kirjasto;aikuiset;2012;7;18477
Tikkurilan kirjasto;aikuiset;2012;8;19349
Tikkurilan kirjasto;aikuiset;2012;9;20151
Tikkurilan kirjasto;aikuiset;2012;10;21515
Tikkurilan kirjasto;aikuiset;2012;11;19357
Tikkurilan kirjasto;aikuiset;2012;12;14482
Tikkurilan kirjasto;musiikki;2012;1;4499
Tikkurilan kirjasto;musiikki;2012;2;4114
Tikkurilan kirjasto;musiikki;2012;3;4870
Tikkurilan kirjasto;musiikki;2012;4;3793
Tikkurilan kirjasto;musiikki;2012;5;4202
Tikkurilan kirjasto;musiikki;2012;6;3377
Tikkurilan kirjasto;musiikki;2012;7;3567
Tikkurilan kirjasto;musiikki;2012;8;3966
Tikkurilan kirjasto;musiikki;2012;9;4676
Tikkurilan kirjasto;musiikki;2012;10;4756
Tikkurilan kirjasto;musiikki;2012;11;4358
Tikkurilan kirjasto;musiikki;2012;12;3931
Tikkurilan kirjasto;lapset;2012;1;10811
Tikkurilan kirjasto;lapset;2012;2;10680
Tikkurilan kirjasto;lapset;2012;3;12486
Tikkurilan kirjasto;lapset;2012;4;10591
Tikkurilan kirjasto;lapset;2012;5;10234
Tikkurilan kirjasto;lapset;2012;6;10683
Tikkurilan kirjasto;lapset;2012;7;11636
Tikkurilan kirjasto;lapset;2012;8;12490
Tikkurilan kirjasto;lapset;2012;9;14107
Tikkurilan kirjasto;lapset;2012;10;14690
Tikkurilan kirjasto;lapset;2012;11;14750
Tikkurilan kirjasto;lapset;2012;12;8309
Hakunilan kirjasto;;2013;1;0
Hakunilan kirjasto;;2013;2;0
Hakunilan kirjasto;;2013;3;0
Hakunilan kirjasto;;2013;4;0
Hakunilan kirjasto;;2013;5;0
Hakunilan kirjasto;;2013;6;0
Hakunilan kirjasto;;2013;7;0
Hakunilan kirjasto;;2013;8;2468
Hakunilan kirjasto;;2013;9;13154
Hakunilan kirjasto;;2013;10;11908
Hakunilan kirjasto;;2013;11;9144
Hakunilan kirjasto;;2013;12;8153
Hiekkaharjun kirjasto;;2013;1;437
Hiekkaharjun kirjasto;;2013;2;398
Hiekkaharjun kirjasto;;2013;3;432
Hiekkaharjun kirjasto;;2013;4;426
Hiekkaharjun kirjasto;;2013;5;376
Hiekkaharjun kirjasto;;2013;6;0
Hiekkaharjun kirjasto;;2013;7;0
Hiekkaharjun kirjasto;;2013;8;431
Hiekkaharjun kirjasto;;2013;9;489
Hiekkaharjun kirjasto;;2013;10;512
Hiekkaharjun kirjasto;;2013;11;434
Hiekkaharjun kirjasto;;2013;12;407
Pähkinärinteen kirjasto;;2013;1;4435
Pähkinärinteen kirjasto;;2013;2;4033
Pähkinärinteen kirjasto;;2013;3;4381
Pähkinärinteen kirjasto;;2013;4;4322
Pähkinärinteen kirjasto;;2013;5;3806
Pähkinärinteen kirjasto;;2013;6;3130
Pähkinärinteen kirjasto;;2013;7;0
Pähkinärinteen kirjasto;;2013;8;4375
Pähkinärinteen kirjasto;;2013;9;4962
Pähkinärinteen kirjasto;;2013;10;5191
Pähkinärinteen kirjasto;;2013;11;4397
Pähkinärinteen kirjasto;;2013;12;4132
Kirjastoautot;;2013;1;4907
Kirjastoautot;;2013;2;4463
Kirjastoautot;;2013;3;4847
Kirjastoautot;;2013;4;4781
Kirjastoautot;;2013;5;4211
Kirjastoautot;;2013;6;3463
Kirjastoautot;;2013;7;0
Kirjastoautot;;2013;8;4841
Kirjastoautot;;2013;9;5489
Kirjastoautot;;2013;10;5744
Kirjastoautot;;2013;11;4864
Kirjastoautot;;2013;12;4572
Koivukylän kirjasto;;2013;1;18901
Koivukylän kirjasto;;2013;2;18444
Koivukylän kirjasto;;2013;3;20475
Koivukylän kirjasto;;2013;4;18139
Koivukylän kirjasto;;2013;5;14470
Koivukylän kirjasto;;2013;6;11488
Koivukylän kirjasto;;2013;7;11400
Koivukylän kirjasto;;2013;8;13986
Koivukylän kirjasto;;2013;9;17470
Koivukylän kirjasto;;2013;10;18342
Koivukylän kirjasto;;2013;11;15367
Koivukylän kirjasto;;2013;12;18183
Lumon kirjasto (Korso);;2013;1;20632
Lumon kirjasto (Korso);;2013;2;17737
Lumon kirjasto (Korso);;2013;3;22993
Lumon kirjasto (Korso);;2013;4;18590
Lumon kirjasto (Korso);;2013;5;17356
Lumon kirjasto (Korso);;2013;6;12049
Lumon kirjasto (Korso);;2013;7;13452
Lumon kirjasto (Korso);;2013;8;20926
Lumon kirjasto (Korso);;2013;9;22304
Lumon kirjasto (Korso);;2013;10;23131
Lumon kirjasto (Korso);;2013;11;20363
Lumon kirjasto (Korso);;2013;12;16646
Länsimäen kirjasto;;2013;1;6554
Länsimäen kirjasto;;2013;2;6310
Länsimäen kirjasto;;2013;3;6665
Länsimäen kirjasto;;2013;4;7674
Länsimäen kirjasto;;2013;5;7225
Länsimäen kirjasto;;2013;6;4413
Länsimäen kirjasto;;2013;7;5652
Länsimäen kirjasto;;2013;8;7278
Länsimäen kirjasto;;2013;9;8674
Länsimäen kirjasto;;2013;10;8774
Länsimäen kirjasto;;2013;11;7328
Länsimäen kirjasto;;2013;12;7160
Martinlaakson kirjasto;;2013;1;10990
Martinlaakson kirjasto;;2013;2;9723
Martinlaakson kirjasto;;2013;3;10218
Martinlaakson kirjasto;;2013;4;10774
Martinlaakson kirjasto;;2013;5;9794
Martinlaakson kirjasto;;2013;6;7826
Martinlaakson kirjasto;;2013;7;8790
Martinlaakson kirjasto;;2013;8;10684
Martinlaakson kirjasto;;2013;9;11015
Martinlaakson kirjasto;;2013;10;11332
Martinlaakson kirjasto;;2013;11;10269
Martinlaakson kirjasto;;2013;12;8562
Mikkolan kirjasto;;2013;1;3476
Mikkolan kirjasto;;2013;2;2546
Mikkolan kirjasto;;2013;3;3348
Mikkolan kirjasto;;2013;4;3413
Mikkolan kirjasto;;2013;5;2595
Mikkolan kirjasto;;2013;6;0
Mikkolan kirjasto;;2013;7;0
Mikkolan kirjasto;;2013;8;0
Mikkolan kirjasto;;2013;9;0
Mikkolan kirjasto;;2013;10;0
Mikkolan kirjasto;;2013;11;0
Mikkolan kirjasto;;2013;12;0
Myyrmäen kirjasto;;2013;1;35102
Myyrmäen kirjasto;;2013;2;31810
Myyrmäen kirjasto;;2013;3;33084
Myyrmäen kirjasto;;2013;4;33811
Myyrmäen kirjasto;;2013;5;29726
Myyrmäen kirjasto;;2013;6;24230
Myyrmäen kirjasto;;2013;7;26055
Myyrmäen kirjasto;;2013;8;33842
Myyrmäen kirjasto;;2013;9;34098
Myyrmäen kirjasto;;2013;10;36368
Myyrmäen kirjasto;;2013;11;30416
Myyrmäen kirjasto;;2013;12;27845
Pointin kirjasto (Pakkala);;2013;1;11226
Pointin kirjasto (Pakkala);;2013;2;10045
Pointin kirjasto (Pakkala);;2013;3;11004
Pointin kirjasto (Pakkala);;2013;4;12282
Pointin kirjasto (Pakkala);;2013;5;10390
Pointin kirjasto (Pakkala);;2013;6;7011
Pointin kirjasto (Pakkala);;2013;7;7995
Pointin kirjasto (Pakkala);;2013;8;10803
Pointin kirjasto (Pakkala);;2013;9;13602
Pointin kirjasto (Pakkala);;2013;10;13474
Pointin kirjasto (Pakkala);;2013;11;11102
Pointin kirjasto (Pakkala);;2013;12;14912
Tikkurilan kirjasto;aikuiset;2013;1;20228
Tikkurilan kirjasto;aikuiset;2013;2;18870
Tikkurilan kirjasto;aikuiset;2013;3;18549
Tikkurilan kirjasto;aikuiset;2013;4;19386
Tikkurilan kirjasto;aikuiset;2013;5;16282
Tikkurilan kirjasto;aikuiset;2013;6;16565
Tikkurilan kirjasto;aikuiset;2013;7;18870
Tikkurilan kirjasto;aikuiset;2013;8;19490
Tikkurilan kirjasto;aikuiset;2013;9;18810
Tikkurilan kirjasto;aikuiset;2013;10;21504
Tikkurilan kirjasto;aikuiset;2013;11;16764
Tikkurilan kirjasto;aikuiset;2013;12;15033
Tikkurilan kirjasto;musiikki;2013;1;4406
Tikkurilan kirjasto;musiikki;2013;2;4223
Tikkurilan kirjasto;musiikki;2013;3;4668
Tikkurilan kirjasto;musiikki;2013;4;5687
Tikkurilan kirjasto;musiikki;2013;5;4837
Tikkurilan kirjasto;musiikki;2013;6;3796
Tikkurilan kirjasto;musiikki;2013;7;4534
Tikkurilan kirjasto;musiikki;2013;8;5442
Tikkurilan kirjasto;musiikki;2013;9;5452
Tikkurilan kirjasto;musiikki;2013;10;6014
Tikkurilan kirjasto;musiikki;2013;11;5798
Tikkurilan kirjasto;musiikki;2013;12;4336
Tikkurilan kirjasto;lapset;2013;1;11230
Tikkurilan kirjasto;lapset;2013;2;9856
Tikkurilan kirjasto;lapset;2013;3;10113
Tikkurilan kirjasto;lapset;2013;4;10665
Tikkurilan kirjasto;lapset;2013;5;11060
Tikkurilan kirjasto;lapset;2013;6;10710
Tikkurilan kirjasto;lapset;2013;7;11140
Tikkurilan kirjasto;lapset;2013;8;13297
Tikkurilan kirjasto;lapset;2013;9;12580
Tikkurilan kirjasto;lapset;2013;10;13289
Tikkurilan kirjasto;lapset;2013;11;12351
Tikkurilan kirjasto;lapset;2013;12;9990
Hakunilan kirjasto;;2014;1;9237
Hakunilan kirjasto;;2014;2;9512
Hakunilan kirjasto;;2014;3;10976
Hakunilan kirjasto;;2014;4;10050
Hakunilan kirjasto;;2014;5;11271
Hakunilan kirjasto;;2014;6;8190
Hakunilan kirjasto;;2014;7;8216
Hakunilan kirjasto;;2014;8;9888
Hakunilan kirjasto;;2014;9;10636
Hakunilan kirjasto;;2014;10;10863
Hakunilan kirjasto;;2014;11;9283
Hakunilan kirjasto;;2014;12;8230
Hiekkaharjun kirjasto;;2014;1;504
Hiekkaharjun kirjasto;;2014;2;507
Hiekkaharjun kirjasto;;2014;3;587
Hiekkaharjun kirjasto;;2014;4;572
Hiekkaharjun kirjasto;;2014;5;515
Hiekkaharjun kirjasto;;2014;6;0
Hiekkaharjun kirjasto;;2014;7;0
Hiekkaharjun kirjasto;;2014;8;454
Hiekkaharjun kirjasto;;2014;9;511
Hiekkaharjun kirjasto;;2014;10;538
