Havaintoasema;Päivä.Kuukausi.Vuosi Aika [Paikallinen aika];Keskituulen nopeus [m/s]
Helsinki-Vantaan lentoasema;27.12.2022 14:39;4.3
Helsinki-Vantaan lentoasema;27.12.2022 14:40;4.3
Helsinki-Vantaan lentoasema;27.12.2022 14:41;4.3
Helsinki-Vantaan lentoasema;27.12.2022 14:42;4.4
Helsinki-Vantaan lentoasema;27.12.2022 14:43;4.5
Helsinki-Vantaan lentoasema;27.12.2022 14:44;4.5
Helsinki-Vantaan lentoasema;27.12.2022 14:45;4.6
Helsinki-Vantaan lentoasema;27.12.2022 14:46;4.8
Helsinki-Vantaan lentoasema;27.12.2022 14:47;4.9
Helsinki-Vantaan lentoasema;27.12.2022 14:48;4.9
Helsinki-Vantaan lentoasema;27.12.2022 14:49;5
Helsinki-Vantaan lentoasema;27.12.2022 14:50;5
Helsinki-Vantaan lentoasema;27.12.2022 14:51;5.1
Helsinki-Vantaan lentoasema;27.12.2022 14:52;5.1
Helsinki-Vantaan lentoasema;27.12.2022 14:53;5.1
Helsinki-Vantaan lentoasema;27.12.2022 14:54;5
Helsinki-Vantaan lentoasema;27.12.2022 14:55;5.1
Helsinki-Vantaan lentoasema;27.12.2022 14:56;5.1
Helsinki-Vantaan lentoasema;27.12.2022 14:57;5
Helsinki-Vantaan lentoasema;27.12.2022 14:58;5
Helsinki-Vantaan lentoasema;27.12.2022 14:59;4.9
Helsinki-Vantaan lentoasema;27.12.2022 15:00;4.9
Helsinki-Vantaan lentoasema;27.12.2022 15:01;5
Helsinki-Vantaan lentoasema;27.12.2022 15:02;5
Helsinki-Vantaan lentoasema;27.12.2022 15:03;5
Helsinki-Vantaan lentoasema;27.12.2022 15:04;5.1
Helsinki-Vantaan lentoasema;27.12.2022 15:05;5.1
Helsinki-Vantaan lentoasema;27.12.2022 15:06;5.1
Helsinki-Vantaan lentoasema;27.12.2022 15:07;5.2
Helsinki-Vantaan lentoasema;27.12.2022 15:08;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:09;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:10;5.6
Helsinki-Vantaan lentoasema;27.12.2022 15:11;5.7
Helsinki-Vantaan lentoasema;27.12.2022 15:12;5.7
Helsinki-Vantaan lentoasema;27.12.2022 15:13;5.8
Helsinki-Vantaan lentoasema;27.12.2022 15:14;5.9
Helsinki-Vantaan lentoasema;27.12.2022 15:15;6.1
Helsinki-Vantaan lentoasema;27.12.2022 15:16;6.1
Helsinki-Vantaan lentoasema;27.12.2022 15:17;6.1
Helsinki-Vantaan lentoasema;27.12.2022 15:18;6
Helsinki-Vantaan lentoasema;27.12.2022 15:19;6
Helsinki-Vantaan lentoasema;27.12.2022 15:20;6.1
Helsinki-Vantaan lentoasema;27.12.2022 15:21;6
Helsinki-Vantaan lentoasema;27.12.2022 15:22;5.9
Helsinki-Vantaan lentoasema;27.12.2022 15:23;5.9
Helsinki-Vantaan lentoasema;27.12.2022 15:24;5.8
Helsinki-Vantaan lentoasema;27.12.2022 15:25;5.7
Helsinki-Vantaan lentoasema;27.12.2022 15:26;5.6
Helsinki-Vantaan lentoasema;27.12.2022 15:27;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:28;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:29;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:30;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:31;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:32;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:33;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:34;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:35;5.5
Helsinki-Vantaan lentoasema;27.12.2022 15:36;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:37;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:38;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:39;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:40;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:41;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:42;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:43;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:44;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:45;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:46;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:47;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:48;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:49;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:50;5.4
Helsinki-Vantaan lentoasema;27.12.2022 15:51;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:52;5.3
Helsinki-Vantaan lentoasema;27.12.2022 15:53;5.2
Helsinki-Vantaan lentoasema;27.12.2022 15:54;5.2
Helsinki-Vantaan lentoasema;27.12.2022 15:55;5.1
Helsinki-Vantaan lentoasema;27.12.2022 15:56;5.2
Helsinki-Vantaan lentoasema;27.12.2022 15:57;5.1
Helsinki-Vantaan lentoasema;27.12.2022 15:58;5
Helsinki-Vantaan lentoasema;27.12.2022 15:59;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:00;4.8
Helsinki-Vantaan lentoasema;27.12.2022 16:01;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:02;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:03;5
Helsinki-Vantaan lentoasema;27.12.2022 16:04;5
Helsinki-Vantaan lentoasema;27.12.2022 16:05;5.2
Helsinki-Vantaan lentoasema;27.12.2022 16:06;5.3
Helsinki-Vantaan lentoasema;27.12.2022 16:07;5.3
Helsinki-Vantaan lentoasema;27.12.2022 16:08;5.6
Helsinki-Vantaan lentoasema;27.12.2022 16:09;5.7
Helsinki-Vantaan lentoasema;27.12.2022 16:10;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:11;6
Helsinki-Vantaan lentoasema;27.12.2022 16:12;6.1
Helsinki-Vantaan lentoasema;27.12.2022 16:13;6.1
Helsinki-Vantaan lentoasema;27.12.2022 16:14;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:15;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:16;6.3
Helsinki-Vantaan lentoasema;27.12.2022 16:17;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:18;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:19;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:20;6.2
Helsinki-Vantaan lentoasema;27.12.2022 16:21;6.1
Helsinki-Vantaan lentoasema;27.12.2022 16:22;6
Helsinki-Vantaan lentoasema;27.12.2022 16:23;5.9
Helsinki-Vantaan lentoasema;27.12.2022 16:24;5.7
Helsinki-Vantaan lentoasema;27.12.2022 16:25;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:26;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:27;5.4
Helsinki-Vantaan lentoasema;27.12.2022 16:28;5.3
Helsinki-Vantaan lentoasema;27.12.2022 16:29;5.2
Helsinki-Vantaan lentoasema;27.12.2022 16:30;5.1
Helsinki-Vantaan lentoasema;27.12.2022 16:31;5
Helsinki-Vantaan lentoasema;27.12.2022 16:32;5
Helsinki-Vantaan lentoasema;27.12.2022 16:33;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:34;4.8
Helsinki-Vantaan lentoasema;27.12.2022 16:35;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:36;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:37;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:38;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:39;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:40;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:41;4.9
Helsinki-Vantaan lentoasema;27.12.2022 16:42;5
Helsinki-Vantaan lentoasema;27.12.2022 16:43;5.1
Helsinki-Vantaan lentoasema;27.12.2022 16:44;5.2
Helsinki-Vantaan lentoasema;27.12.2022 16:45;5.2
Helsinki-Vantaan lentoasema;27.12.2022 16:46;5.3
Helsinki-Vantaan lentoasema;27.12.2022 16:47;5.4
Helsinki-Vantaan lentoasema;27.12.2022 16:48;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:49;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:50;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:51;5.5
Helsinki-Vantaan lentoasema;27.12.2022 16:52;5.7
Helsinki-Vantaan lentoasema;27.12.2022 16:53;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:54;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:55;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:56;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:57;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:58;5.8
Helsinki-Vantaan lentoasema;27.12.2022 16:59;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:00;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:01;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:02;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:03;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:04;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:05;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:06;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:07;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:08;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:09;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:10;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:11;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:12;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:13;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:14;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:15;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:16;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:17;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:18;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:19;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:20;5.4
Helsinki-Vantaan lentoasema;27.12.2022 17:21;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:22;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:23;5.4
Helsinki-Vantaan lentoasema;27.12.2022 17:24;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:25;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:26;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:27;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:28;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:29;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:30;5.9
Helsinki-Vantaan lentoasema;27.12.2022 17:31;5.9
Helsinki-Vantaan lentoasema;27.12.2022 17:32;5.9
Helsinki-Vantaan lentoasema;27.12.2022 17:33;5.9
Helsinki-Vantaan lentoasema;27.12.2022 17:34;5.9
Helsinki-Vantaan lentoasema;27.12.2022 17:35;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:36;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:37;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:38;5.8
Helsinki-Vantaan lentoasema;27.12.2022 17:39;5.7
Helsinki-Vantaan lentoasema;27.12.2022 17:40;5.6
Helsinki-Vantaan lentoasema;27.12.2022 17:41;5.5
Helsinki-Vantaan lentoasema;27.12.2022 17:42;5.4
Helsinki-Vantaan lentoasema;27.12.2022 17:43;5.4
Helsinki-Vantaan lentoasema;27.12.2022 17:44;5.3
Helsinki-Vantaan lentoasema;27.12.2022 17:45;5.2
Helsinki-Vantaan lentoasema;27.12.2022 17:46;5.1
Helsinki-Vantaan lentoasema;27.12.2022 17:47;5
Helsinki-Vantaan lentoasema;27.12.2022 17:48;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:49;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:50;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:51;4.7
Helsinki-Vantaan lentoasema;27.12.2022 17:52;4.7
Helsinki-Vantaan lentoasema;27.12.2022 17:53;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:54;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:55;4.8
Helsinki-Vantaan lentoasema;27.12.2022 17:56;4.9
Helsinki-Vantaan lentoasema;27.12.2022 17:57;4.9
Helsinki-Vantaan lentoasema;27.12.2022 17:58;4.9
Helsinki-Vantaan lentoasema;27.12.2022 17:59;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:00;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:01;5
Helsinki-Vantaan lentoasema;27.12.2022 18:02;5
Helsinki-Vantaan lentoasema;27.12.2022 18:03;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:04;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:05;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:06;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:07;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:08;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:09;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:10;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:11;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:12;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:13;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:14;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:15;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:16;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:17;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:18;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:19;5
Helsinki-Vantaan lentoasema;27.12.2022 18:20;5.1
Helsinki-Vantaan lentoasema;27.12.2022 18:21;5.2
Helsinki-Vantaan lentoasema;27.12.2022 18:22;5.2
Helsinki-Vantaan lentoasema;27.12.2022 18:23;5.2
Helsinki-Vantaan lentoasema;27.12.2022 18:24;5.2
Helsinki-Vantaan lentoasema;27.12.2022 18:25;5.3
Helsinki-Vantaan lentoasema;27.12.2022 18:26;5.4
Helsinki-Vantaan lentoasema;27.12.2022 18:27;5.5
Helsinki-Vantaan lentoasema;27.12.2022 18:28;5.6
Helsinki-Vantaan lentoasema;27.12.2022 18:29;5.6
Helsinki-Vantaan lentoasema;27.12.2022 18:30;5.6
Helsinki-Vantaan lentoasema;27.12.2022 18:31;5.5
Helsinki-Vantaan lentoasema;27.12.2022 18:32;5.5
Helsinki-Vantaan lentoasema;27.12.2022 18:33;5.5
Helsinki-Vantaan lentoasema;27.12.2022 18:34;5.4
Helsinki-Vantaan lentoasema;27.12.2022 18:35;5.5
Helsinki-Vantaan lentoasema;27.12.2022 18:36;5.4
Helsinki-Vantaan lentoasema;27.12.2022 18:37;5.2
Helsinki-Vantaan lentoasema;27.12.2022 18:38;5
Helsinki-Vantaan lentoasema;27.12.2022 18:39;4.9
Helsinki-Vantaan lentoasema;27.12.2022 18:40;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:41;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:42;4.8
Helsinki-Vantaan lentoasema;27.12.2022 18:43;4.7
Helsinki-Vantaan lentoasema;27.12.2022 18:44;4.7
Helsinki-Vantaan lentoasema;27.12.2022 18:45;4.7
Helsinki-Vantaan lentoasema;27.12.2022 18:46;4.5
Helsinki-Vantaan lentoasema;27.12.2022 18:47;4.5
Helsinki-Vantaan lentoasema;27.12.2022 18:48;4.5
Helsinki-Vantaan lentoasema;27.12.2022 18:49;4.4
Helsinki-Vantaan lentoasema;27.12.2022 18:50;4.4
Helsinki-Vantaan lentoasema;27.12.2022 18:51;4.4
Helsinki-Vantaan lentoasema;27.12.2022 18:52;4.3
Helsinki-Vantaan lentoasema;27.12.2022 18:53;4.2
Helsinki-Vantaan lentoasema;27.12.2022 18:54;4.2
Helsinki-Vantaan lentoasema;27.12.2022 18:55;4.1
Helsinki-Vantaan lentoasema;27.12.2022 18:56;4.2
Helsinki-Vantaan lentoasema;27.12.2022 18:57;4.2
Helsinki-Vantaan lentoasema;27.12.2022 18:58;4.2
Helsinki-Vantaan lentoasema;27.12.2022 18:59;4.3
Helsinki-Vantaan lentoasema;27.12.2022 19:00;4.5
Helsinki-Vantaan lentoasema;27.12.2022 19:01;4.6
Helsinki-Vantaan lentoasema;27.12.2022 19:02;4.8
Helsinki-Vantaan lentoasema;27.12.2022 19:03;5
Helsinki-Vantaan lentoasema;27.12.2022 19:04;5.1
Helsinki-Vantaan lentoasema;27.12.2022 19:05;5.1
Helsinki-Vantaan lentoasema;27.12.2022 19:06;5.3
Helsinki-Vantaan lentoasema;27.12.2022 19:07;5.4
Helsinki-Vantaan lentoasema;27.12.2022 19:08;5.6
Helsinki-Vantaan lentoasema;27.12.2022 19:09;5.8
Helsinki-Vantaan lentoasema;27.12.2022 19:10;5.9
Helsinki-Vantaan lentoasema;27.12.2022 19:11;5.9
Helsinki-Vantaan lentoasema;27.12.2022 19:12;5.9
Helsinki-Vantaan lentoasema;27.12.2022 19:13;5.8
Helsinki-Vantaan lentoasema;27.12.2022 19:14;6
Helsinki-Vantaan lentoasema;27.12.2022 19:15;6.1
Helsinki-Vantaan lentoasema;27.12.2022 19:16;6
Helsinki-Vantaan lentoasema;27.12.2022 19:17;6.1
Helsinki-Vantaan lentoasema;27.12.2022 19:18;6.1
Helsinki-Vantaan lentoasema;27.12.2022 19:19;6
Helsinki-Vantaan lentoasema;27.12.2022 19:20;5.9
Helsinki-Vantaan lentoasema;27.12.2022 19:21;6
Helsinki-Vantaan lentoasema;27.12.2022 19:22;6.2
Helsinki-Vantaan lentoasema;27.12.2022 19:23;6.5
Helsinki-Vantaan lentoasema;27.12.2022 19:24;6.4
Helsinki-Vantaan lentoasema;27.12.2022 19:25;6.3
Helsinki-Vantaan lentoasema;27.12.2022 19:26;6.4
Helsinki-Vantaan lentoasema;27.12.2022 19:27;6.5
Helsinki-Vantaan lentoasema;27.12.2022 19:28;6.5
Helsinki-Vantaan lentoasema;27.12.2022 19:29;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:30;6.7
Helsinki-Vantaan lentoasema;27.12.2022 19:31;6.8
Helsinki-Vantaan lentoasema;27.12.2022 19:32;6.7
Helsinki-Vantaan lentoasema;27.12.2022 19:33;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:34;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:35;6.7
Helsinki-Vantaan lentoasema;27.12.2022 19:36;6.7
Helsinki-Vantaan lentoasema;27.12.2022 19:37;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:38;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:39;6.4
Helsinki-Vantaan lentoasema;27.12.2022 19:40;6.4
Helsinki-Vantaan lentoasema;27.12.2022 19:41;6.5
Helsinki-Vantaan lentoasema;27.12.2022 19:42;6.5
Helsinki-Vantaan lentoasema;27.12.2022 19:43;6.6
Helsinki-Vantaan lentoasema;27.12.2022 19:44;6.8
Helsinki-Vantaan lentoasema;27.12.2022 19:45;7
Helsinki-Vantaan lentoasema;27.12.2022 19:46;7.2
Helsinki-Vantaan lentoasema;27.12.2022 19:47;7.3
Helsinki-Vantaan lentoasema;27.12.2022 19:48;7.5
Helsinki-Vantaan lentoasema;27.12.2022 19:49;7.8
Helsinki-Vantaan lentoasema;27.12.2022 19:50;8.1
Helsinki-Vantaan lentoasema;27.12.2022 19:51;8.1
Helsinki-Vantaan lentoasema;27.12.2022 19:52;8.1
Helsinki-Vantaan lentoasema;27.12.2022 19:53;8
Helsinki-Vantaan lentoasema;27.12.2022 19:54;7.9
Helsinki-Vantaan lentoasema;27.12.2022 19:55;7.7
Helsinki-Vantaan lentoasema;27.12.2022 19:56;7.6
Helsinki-Vantaan lentoasema;27.12.2022 19:57;7.6
Helsinki-Vantaan lentoasema;27.12.2022 19:58;7.5
Helsinki-Vantaan lentoasema;27.12.2022 19:59;7.2
Helsinki-Vantaan lentoasema;27.12.2022 20:00;6.9
Helsinki-Vantaan lentoasema;27.12.2022 20:01;6.8
Helsinki-Vantaan lentoasema;27.12.2022 20:02;6.7
Helsinki-Vantaan lentoasema;27.12.2022 20:03;6.6
Helsinki-Vantaan lentoasema;27.12.2022 20:04;6.5
Helsinki-Vantaan lentoasema;27.12.2022 20:05;6.4
Helsinki-Vantaan lentoasema;27.12.2022 20:06;6.4
Helsinki-Vantaan lentoasema;27.12.2022 20:07;6.2
Helsinki-Vantaan lentoasema;27.12.2022 20:08;6
Helsinki-Vantaan lentoasema;27.12.2022 20:09;6
Helsinki-Vantaan lentoasema;27.12.2022 20:10;6
Helsinki-Vantaan lentoasema;27.12.2022 20:11;5.9
Helsinki-Vantaan lentoasema;27.12.2022 20:12;6
Helsinki-Vantaan lentoasema;27.12.2022 20:13;5.9
Helsinki-Vantaan lentoasema;27.12.2022 20:14;5.8
Helsinki-Vantaan lentoasema;27.12.2022 20:15;5.7
Helsinki-Vantaan lentoasema;27.12.2022 20:16;5.6
Helsinki-Vantaan lentoasema;27.12.2022 20:17;5.5
Helsinki-Vantaan lentoasema;27.12.2022 20:18;5.5
Helsinki-Vantaan lentoasema;27.12.2022 20:19;5.5
Helsinki-Vantaan lentoasema;27.12.2022 20:20;5.4
Helsinki-Vantaan lentoasema;27.12.2022 20:21;5.2
Helsinki-Vantaan lentoasema;27.12.2022 20:22;5.1
Helsinki-Vantaan lentoasema;27.12.2022 20:23;5.1
Helsinki-Vantaan lentoasema;27.12.2022 20:24;5.1
Helsinki-Vantaan lentoasema;27.12.2022 20:25;5
Helsinki-Vantaan lentoasema;27.12.2022 20:26;4.8
Helsinki-Vantaan lentoasema;27.12.2022 20:27;4.7
Helsinki-Vantaan lentoasema;27.12.2022 20:28;4.6
Helsinki-Vantaan lentoasema;27.12.2022 20:29;4.4
Helsinki-Vantaan lentoasema;27.12.2022 20:30;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:31;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:32;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:33;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:34;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:35;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:36;4.1
Helsinki-Vantaan lentoasema;27.12.2022 20:37;4.1
Helsinki-Vantaan lentoasema;27.12.2022 20:38;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:39;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:40;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:41;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:42;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:43;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:44;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:45;4.2
Helsinki-Vantaan lentoasema;27.12.2022 20:46;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:47;4.4
Helsinki-Vantaan lentoasema;27.12.2022 20:48;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:49;4.3
Helsinki-Vantaan lentoasema;27.12.2022 20:50;4.4
Helsinki-Vantaan lentoasema;27.12.2022 20:51;4.4
Helsinki-Vantaan lentoasema;27.12.2022 20:52;4.4
Helsinki-Vantaan lentoasema;27.12.2022 20:53;4.5
Helsinki-Vantaan lentoasema;27.12.2022 20:54;4.5
Helsinki-Vantaan lentoasema;27.12.2022 20:55;4.6
Helsinki-Vantaan lentoasema;27.12.2022 20:56;4.6
Helsinki-Vantaan lentoasema;27.12.2022 20:57;4.6
Helsinki-Vantaan lentoasema;27.12.2022 20:58;4.7
Helsinki-Vantaan lentoasema;27.12.2022 20:59;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:00;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:01;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:02;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:03;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:04;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:05;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:06;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:07;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:08;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:09;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:10;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:11;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:12;5
Helsinki-Vantaan lentoasema;27.12.2022 21:13;5
Helsinki-Vantaan lentoasema;27.12.2022 21:14;5.1
Helsinki-Vantaan lentoasema;27.12.2022 21:15;5.1
Helsinki-Vantaan lentoasema;27.12.2022 21:16;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:17;5.1
Helsinki-Vantaan lentoasema;27.12.2022 21:18;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:19;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:20;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:21;5.3
Helsinki-Vantaan lentoasema;27.12.2022 21:22;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:23;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:24;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:25;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:26;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:27;5.2
Helsinki-Vantaan lentoasema;27.12.2022 21:28;5.1
Helsinki-Vantaan lentoasema;27.12.2022 21:29;5
Helsinki-Vantaan lentoasema;27.12.2022 21:30;5
Helsinki-Vantaan lentoasema;27.12.2022 21:31;5
Helsinki-Vantaan lentoasema;27.12.2022 21:32;5
Helsinki-Vantaan lentoasema;27.12.2022 21:33;5
Helsinki-Vantaan lentoasema;27.12.2022 21:34;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:35;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:36;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:37;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:38;5
Helsinki-Vantaan lentoasema;27.12.2022 21:39;5
Helsinki-Vantaan lentoasema;27.12.2022 21:40;4.9
Helsinki-Vantaan lentoasema;27.12.2022 21:41;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:42;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:43;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:44;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:45;4.8
Helsinki-Vantaan lentoasema;27.12.2022 21:46;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:47;4.6
Helsinki-Vantaan lentoasema;27.12.2022 21:48;4.6
Helsinki-Vantaan lentoasema;27.12.2022 21:49;4.6
Helsinki-Vantaan lentoasema;27.12.2022 21:50;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:51;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:52;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:53;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:54;4.7
Helsinki-Vantaan lentoasema;27.12.2022 21:55;4.6
Helsinki-Vantaan lentoasema;27.12.2022 21:56;4.6
